iter	Passed	Remaining
0	3	305
1	6	307
2	13	439
3	17	412
4	19	377
5	22	348
6	24	321
7	28	330
8	31	316
9	32	296
10	34	276
11	35	259
12	36	247
13	39	243
14	41	236
15	43	225
16	44	217
17	45	208
18	46	200
19	50	200
20	52	196
21	53	190
22	55	184
23	56	179
24	58	174
25	60	172
26	64	174
27	65	168
28	66	163
29	68	158
30	70	156
31	76	161
32	77	158
33	79	153
34	80	149
35	81	145
36	82	140
37	83	136
38	87	136
39	88	133
40	90	129
41	90	125
42	91	121
43	92	118
44	94	114
45	95	111
46	100	113
47	102	111
48	103	107
49	104	104
50	106	101
51	107	98
52	108	95
53	116	98
54	117	95
55	118	93
56	119	90
57	120	87
58	127	88
59	129	86
60	130	83
61	132	81
62	133	78
63	135	76
64	137	74
65	139	71
66	140	69
67	142	66
68	143	64
69	148	63
70	150	61
71	152	59
72	153	56
73	154	54
74	156	52
75	162	51
76	164	49
77	165	46
78	166	44
79	167	41
80	169	39
81	170	37
82	173	35
83	175	33
84	176	31
85	177	28
86	178	26
87	179	24
88	181	22
89	185	20
90	186	18
91	188	16
92	189	14
93	190	12
94	191	10
95	192	8
96	197	6
97	199	4
98	200	2
99	201	0
