iter	Passed	Remaining
0	275	275674
1	280	140042
2	287	95463
3	290	72331
4	294	58549
5	297	49266
6	300	42690
7	302	37553
8	304	33497
9	305	30210
10	306	27522
11	307	25302
12	308	23401
13	309	21773
14	310	20410
15	312	19213
16	313	18155
17	315	17214
18	316	16342
19	317	15554
20	318	14841
21	319	14194
22	320	13605
23	321	13063
24	322	12563
25	323	12101
26	324	11679
27	325	11315
28	327	10973
29	328	10636
30	330	10330
31	331	10025
32	332	9741
33	333	9471
34	334	9220
35	335	8980
36	336	8752
37	337	8536
38	338	8332
39	340	8161
40	341	7992
41	343	7827
42	344	7668
43	345	7511
44	346	7356
45	347	7207
46	348	7068
47	349	6933
48	350	6803
49	351	6681
50	352	6564
51	354	6461
52	355	6359
53	357	6257
54	358	6162
55	359	6062
56	360	5965
57	361	5875
58	362	5784
59	363	5696
60	364	5610
61	365	5528
62	366	5448
63	370	5415
64	372	5352
65	374	5295
66	375	5227
67	376	5161
68	377	5098
69	379	5035
70	381	4986
71	383	4942
72	385	4889
73	386	4836
74	387	4783
75	389	4730
76	389	4674
77	390	4619
78	391	4566
79	392	4514
80	393	4464
81	394	4415
82	394	4362
83	395	4316
84	398	4284
85	399	4245
86	400	4205
87	401	4165
88	403	4128
89	404	4089
90	405	4049
91	406	4009
92	407	3970
93	408	3932
94	408	3895
95	409	3859
96	410	3823
97	412	3797
98	413	3763
99	414	3730
100	415	3697
101	416	3665
102	417	3633
103	418	3602
104	419	3573
105	420	3542
106	421	3513
107	421	3484
108	422	3456
109	423	3428
110	424	3401
111	425	3376
112	427	3353
113	428	3330
114	429	3307
115	431	3284
116	432	3263
117	433	3240
118	434	3217
119	435	3193
120	436	3169
121	437	3145
122	438	3123
123	438	3101
124	440	3080
125	441	3062
126	442	3043
127	444	3027
128	445	3010
129	447	2998
130	449	2979
131	450	2961
132	451	2943
133	453	2928
134	454	2911
135	456	2899
136	458	2888
137	460	2874
138	462	2862
139	463	2846
140	464	2830
141	465	2810
142	466	2793
143	467	2777
144	468	2761
145	469	2744
146	471	2734
147	472	2722
148	474	2709
149	475	2696
150	477	2684
151	478	2669
152	479	2654
153	480	2639
154	481	2624
155	482	2610
156	483	2595
157	484	2581
158	486	2572
159	487	2561
160	489	2549
161	490	2539
162	492	2526
163	492	2512
164	493	2499
165	495	2487
166	496	2474
167	497	2462
168	498	2449
169	499	2437
170	500	2428
171	502	2419
172	504	2410
173	505	2401
174	507	2390
175	508	2379
176	509	2368
177	510	2357
178	511	2346
179	512	2336
180	515	2331
181	517	2325
182	519	2317
183	520	2310
184	522	2300
185	523	2291
186	524	2280
187	525	2270
188	526	2260
189	528	2251
190	530	2245
191	531	2236
192	532	2228
193	534	2220
194	535	2212
195	537	2202
196	538	2193
197	539	2184
198	540	2175
199	541	2165
200	542	2155
201	543	2146
202	545	2141
203	546	2133
204	548	2125
205	549	2118
206	550	2109
207	551	2100
